[2025-07-29 15:10:11] 127.0.0.1 - Тестовое сообщение - curl/8.13.0
[2025-07-29 16:34:50] 127.0.0.1 | Unknown | 💥 Привет с PHP! | curl/8.13.0
[2025-07-29 16:35:11] 127.0.0.1 | Unknown | 💥 Привет с PHP! | curl/8.13.0
[2025-07-29 16:35:48] 127.0.0.1 | Unknown | 💥 Привет с PHP! | curl/8.13.0
[2025-07-29 16:37:28] 127.0.0.1 | Unknown | 💥 Привет с PHP! | curl/8.13.0
[2025-07-29 16:40:32] 127.0.0.1 | Unknown | 💥 Привет с PHP! | curl/8.13.0
[2025-07-29 16:45:09] 127.0.0.1 | Unknown | 💥 Привет с PHP! | curl/8.13.0
[2025-07-29 16:48:00] 127.0.0.1 | Unknown | 💥 Привет с PHP! | curl/8.13.0
[2025-07-29 16:50:04] 127.0.0.1 | Unknown | 💥 Привет с PHP! | curl/8.13.0
[2025-07-29 16:59:21] 127.0.0.1 | Unknown | 💥 Привет с PHP! | curl/8.13.0
[2025-07-29 16:59:55] 127.0.0.1 | Unknown | 💥 Привет с PHP! | curl/8.13.0
[2025-07-29 17:05:25] 127.0.0.1 | Unknown | Unknown (--) | Unknown | 💥 Привет с PHP! | curl/8.13.0
